"From"	"To"
"SLFN11"	"uc010ctq.2"
"SLFN11"	"uc002hjh.3"
"SLFN11"	"uc002hjg.3"
"SLFN11"	"uc010ctr.2"
"SLFN11"	"uc010ctp.2"
"FN1"	"uc010fvb.1"
"FN1"	"uc002vfe.2"
"FN1"	"uc010zjp.1"
"FN1"	"uc010fva.1"
"FN1"	"uc002vfd.2"
"FN1"	"uc002vfk.1"
"FN1"	"uc010fvd.1"
"FN1"	"uc002vff.2"
"FN1"	"uc002vfl.2"
"FN1"	"uc002vfc.2"
"FN1"	"uc002vfj.2"
"FN1"	"uc002vfa.2"
"FN1"	"uc010fvc.1"
"FN1"	"uc002vez.2"
"FN1"	"uc002vfb.2"
"FN1"	"uc002vfi.2"
"FN1"	"uc002vfh.2"
"FN1"	"uc002vfg.2"
"FN1"	"uc007bkd.1"
"FN1"	"uc007bjx.1"
"FN1"	"uc007bjv.1"
"FN1"	"uc007bju.1"
"FN1"	"uc007bkc.1"
"FN1"	"uc007bjy.1"
"FN1"	"uc007bka.1"
"FN1"	"uc007bkb.1"
"FN1"	"uc007bjz.1"
"FN1"	"uc007bjw.1"
"FSTL1"	"uc010hrb.2"
"FSTL1"	"uc003eds.2"
"FSTL1"	"uc011bjh.1"
"FSTL1"	"uc007zej.1"
"GPR109B"	"uc001ucy.3"
"GPR109B"	"uc001ucx.1"
"GPX3"	"uc007iyk.1"
"GPX3"	"uc003ltd.2"
"GPX3"	"uc011dcm.1"
"GPX3"	"uc003ltc.2"
"HLA-DQA2"	"uc011ixl.1"
"HLA-DQA2"	"uc011gke.1"
"HLA-DQA2"	"uc011fnw.1"
"HLA-DQA2"	"uc011hes.1"
"HLA-DQA2"	"uc011hzy.1"
"HLA-DQA2"	"uc011jss.1"
"HLA-DQA2"	"uc011erk.1"
"HLA-DQA2"	"uc003obx.2"
"INHBA"	"uc007pnw.1"
"INHBA"	"uc003thr.2"
"INHBA"	"uc003thq.2"
"LGMN"	"uc007oue.1"
"LGMN"	"uc007ouf.1"
"LGMN"	"uc001yaw.2"
"LGMN"	"uc010aul.2"
"LGMN"	"uc001yau.2"
"LGMN"	"uc001yat.2"
"LGMN"	"uc001yay.2"
"LGMN"	"uc001yav.2"
