"From"	"To"
"IL23A"	"uc007hmc.1"
"IL23A"	"uc001sla.2"
"ILDR1"	"uc003eeq.2"
"ILDR1"	"uc010hrg.2"
"ILDR1"	"uc003eer.2"
"ILDR1"	"uc003ees.2"
"ILDR1"	"uc007zct.1"
"ILDR1"	"uc007zcu.1"
"ILDR1"	"uc007zcs.1"
"ILDR1"	"uc007zcr.1"
"LONRF3"	"uc004eqy.2"
"LONRF3"	"uc004eqz.2"
"LONRF3"	"uc004eqx.2"
"LONRF3"	"uc004eqw.2"
"LONRF3"	"uc009sxm.1"
"LONRF3"	"uc009sxn.1"
"LTK"	"uc001zob.3"
"LTK"	"uc010bcg.2"
"LTK"	"uc001zoa.3"
"LTK"	"uc010ucx.1"
"LTK"	"uc008lug.1"
"LTK"	"uc008luj.1"
"LTK"	"uc008lui.1"
"LTK"	"uc008luh.1"
"MOCOS"	"uc008egy.1"
"MOCOS"	"uc008egz.1"
"MOCOS"	"uc002kzq.3"
"SH2D6"	"uc002spq.2"
"SH2D6"	"uc002spo.2"
"SH2D6"	"uc002spp.2"
"TNIP2"	"uc008xck.1"
"TNIP2"	"uc008xcj.1"
"TNIP2"	"uc003gfg.2"
"TNIP2"	"uc003gfh.2"
"TNIP2"	"uc003gff.2"
"TRAF3IP2"	"uc010kdx.2"
"TRAF3IP2"	"uc003pvf.2"
"TRAF3IP2"	"uc011ebb.1"
"TRAF3IP2"	"uc010kdw.2"
"TRAF3IP2"	"uc003pvg.2"
"TRAF3IP2"	"uc011ebc.1"
"TRAF3IP2"	"uc003pvd.2"
"TRAF3IP2"	"uc007ewa.1"
"YBX2"	"uc002gfq.2"
"YBX2"	"uc007jsw.1"
"YBX2"	"uc007jsx.1"
