"From"	"To"
"HDC"	"uc010beu.1"
"HDC"	"uc001zxz.2"
"HDC"	"uc010bet.1"
"HDC"	"uc008mdr.1"
"HEY1"	"uc010lzq.2"
"HEY1"	"uc003ybm.2"
"HEY1"	"uc003ybl.2"
"HEY1"	"uc008oop.1"
"KRT1"	"uc001sav.1"
"KRT1"	"uc001sau.1"
"KRT1"	"uc007xuc.1"
"LXN"	"uc008pln.1"
"LXN"	"uc003fch.2"
"LXN"	"uc011bov.1"
"PLXNC1"	"uc007gvz.2"
"PLXNC1"	"uc001tdc.2"
"PLXNC1"	"uc010sut.1"
"PLXNC1"	"uc009zsv.2"
"MEIS2"	"uc008lqx.1"
"MEIS2"	"uc008lqt.1"
"MEIS2"	"uc008lqw.1"
"MEIS2"	"uc008lqz.1"
"MEIS2"	"uc008lqv.1"
"MEIS2"	"uc008lqs.1"
"MEIS2"	"uc008lqy.1"
"MEIS2"	"uc008lqu.1"
"MEIS2"	"uc001zjt.2"
"MEIS2"	"uc001zjl.2"
"MEIS2"	"uc001zjp.2"
"MEIS2"	"uc001zju.2"
"MEIS2"	"uc001zjk.2"
"MEIS2"	"uc001zjn.2"
"MEIS2"	"uc010ucj.1"
"MEIS2"	"uc001zjs.2"
"MEIS2"	"uc001zjm.2"
"MEIS2"	"uc001zjo.2"
"MEIS2"	"uc001zjr.2"
"MEIS2"	"uc001zjj.2"
"MS4A2"	"uc001nop.2"
"MS4A2"	"uc009ymu.2"
"MS4A2"	"uc008gsn.1"
"MS4A2"	"uc008gso.1"
"MS4A3"	"uc008gsr.1"
"MS4A3"	"uc008gsq.1"
"MS4A3"	"uc008gsp.1"
"MS4A3"	"uc001non.2"
"MS4A3"	"uc001nom.2"
"MS4A3"	"uc001noo.2"
"NLRP3"	"uc001icw.2"
"NLRP3"	"uc001icu.2"
"NLRP3"	"uc001icr.2"
"NLRP3"	"uc010pyw.1"
"NLRP3"	"uc001ics.2"
"NLRP3"	"uc001icv.2"
"NLRP3"	"uc001ict.1"
"NLRP3"	"uc007jeh.1"
"NLRP3"	"uc007jei.1"
"NTRK1"	"uc001fqf.1"
"NTRK1"	"uc001fqi.1"
"NTRK1"	"uc009wsk.1"
"NTRK1"	"uc001fqh.1"
"NTRK1"	"uc009wsi.1"
"PLAT"	"uc011lcm.1"
"PLAT"	"uc003xot.2"
"PLAT"	"uc011lcn.1"
"PLAT"	"uc003xos.2"
"PLAT"	"uc010lxg.1"
"PLAT"	"uc010lxf.1"
"PLAT"	"uc009ldw.1"
"PLAT"	"uc009ldx.1"
"PTGS1"	"uc010mwb.1"
"PTGS1"	"uc004bmh.1"
"PTGS1"	"uc004bmg.1"
"PTGS1"	"uc011lys.1"
"PTGS1"	"uc004bmf.1"
"PTGS1"	"uc011lyt.1"
"PTGS1"	"uc008jll.1"
"PTGS2"	"uc007cxv.1"
"PTGS2"	"uc001gsb.2"
"PTGS2"	"uc009wyo.2"
"RGS16"	"uc007dae.1"
"RGS16"	"uc010pnv.1"
"RGS16"	"uc001gpl.3"
"SCG2"	"uc002vnm.2"
"SCG2"	"uc007bqs.1"
"SCG2"	"uc007bqr.1"
"SDPR"	"uc007axk.1"
"SDPR"	"uc002utb.2"
"SERPINB2"	"uc002ljp.1"
"SERPINB2"	"uc002ljq.1"
"SERPINB2"	"uc010xeu.1"
"SERPINB2"	"uc002ljo.2"
"SERPINB2"	"uc010dqh.2"
"SERPINB2"	"uc007chn.1"
"SERPINB2"	"uc007cho.1"
"SERPINB2"	"uc007chp.1"
"SIGLEC14"	"uc002pxf.3"
"SIGLEC6"	"uc010epa.1"
"SIGLEC6"	"uc010ydb.1"
"SIGLEC6"	"uc010eoz.1"
"SIGLEC6"	"uc002pwy.2"
"SIGLEC6"	"uc002pxa.2"
"SIGLEC6"	"uc002pwz.2"
"SIGLEC6"	"uc010ydc.1"
"SIGLEC6"	"uc010epb.1"
"SLC18A2"	"uc001ldd.1"
"SLC18A2"	"uc009xyy.1"
"SLC18A2"	"uc008ibi.1"
"SLC24A3"	"uc008mrq.1"
"SLC24A3"	"uc008mrr.1"
"SLC24A3"	"uc002wrl.2"
"TAL1"	"uc008uem.1"
"TAL1"	"uc008uek.1"
"TAL1"	"uc008uel.1"
"TAL1"	"uc001cqx.2"
"TAL1"	"uc001crb.1"
"TAL1"	"uc001cqy.2"
"TAL1"	"uc001cqz.1"
"TAL1"	"uc001cra.1"
"TAL1"	"uc009vyq.2"
"TARP"	"uc003tgg.1"
"TARP"	"uc003tgj.1"
"TARP"	"uc003tgb.2"
"TARP"	"uc003tgc.1"
"TARP"	"uc003tgf.1"
"TARP"	"uc010kxi.1"
"TARP"	"uc003tge.1"
"TARP"	"uc003tgi.1"
"TARP"	"uc003tgh.1"
"TARP"	"uc003tgd.1"
"TIE1"	"uc008uki.1"
"TIE1"	"uc008ukh.1"
